172.16.68.1, 1423000, up, echo-reply, 127.0, None, 2737586, Tue Oct  3 14:41:55 2017, None, 2, 260, Good luck!, Incremental, 100HZ, 43119.0, 39136.0, 199663.0, 21, tcp, 147.7, 
172.16.68.2, 1423000, up, echo-reply, 127.0, jiit-main.pdc.jiit, None, None, None, 2, 252, Good luck!, Incremental, zero timestamp, 49923.0, 40298.0, 211115.0, 21, tcp, 166.24, 
172.16.68.4, 1423000, up, echo-reply, 127.0, None, None, None, None, 2, 258, Good luck!, Incremental, zero timestamp, 53540.0, 53441.0, 267304.0, 21, tcp, 221.79000000000002, 
172.16.68.5, 1423000, up, echo-reply, 127.0, symantec.pdc.jiit, None, None, None, 2, 260, Good luck!, Incremental, zero timestamp, 26766.0, 30942.0, 150534.0, 21, tcp, 115.29, 
172.16.68.6, 1423000, up, echo-reply, 63.0, None, None, None, 996, 2, 264, Good luck!, All zeros, none returned (unsupported), 29624.0, 23126.0, 122128.0, 22, tcp, 81.53, 
172.16.68.8, 1423000, up, echo-reply, 127.0, jiitwebsite.pdc.jiit, 6453953, Mon Aug 21 14:22:29 2017, None, 2, 262, Good luck!, Incremental, 100HZ, 49290.0, 50827.0, 252598.0, 21, tcp, 195.45, 
172.16.68.9, 1423000, up, echo-reply, 127.0, license-server.pdc.jiit, None, None, None, 2, 260, Good luck!, Incremental, zero timestamp, 72480.0, 59936.0, 312224.0, 21, tcp, 215.76, 
172.16.68.10, 1423000, up, echo-reply, 127.0, None, 6453662, Mon Aug 21 14:27:20 2017, None, 2, 263, Good luck!, Busy server or unknown class, 100HZ, 49183.0, 57839.0, 280539.0, 21, tcp, 221.72000000000003, 
172.16.68.11, 1423000, up, echo-reply, 63.0, linux, 1472045, Wed Oct 18 06:14:17 2017, 982, 2, 203, Good luck!, All zeros, other, 50843.0, 51569.0, 257119.0, 443, tcp, 51.03, 
172.16.68.13, 1423000, up, echo-reply, 127.0, jbsnameserver.pdc.jiit, 565552, Sat Oct 28 18:02:30 2017, None, 2, 262, Good luck!, Incremental, 100HZ, 62294.0, 61725.0, 309194.0, 8888, tcp, 221.66000000000003, 
172.16.68.14, 1423000, up, echo-reply, 127.0, oracle.pdc.jiit, None, None, None, 2, 256, Good luck!, Incremental, zero timestamp, 43288.0, 44260.0, 220328.0, 21, tcp, 170.89, 
172.16.68.15, 1423000, up, echo-reply, 63.0, None, None, None, 996, 2, 256, Good luck!, All zeros, none returned (unsupported), 63245.0, 74032.0, 359373.0, 22, tcp, 49.5, 
172.16.68.18, 1423000, up, reset, 127.0, counselling.pdc.jiit, 10075587, Mon Jul 10 16:21:55 2017, None, 2, 262, Good luck!, Incremental, 100HZ, 42946.0, 30408.0, 164578.0, 21, tcp, 99.67, 
172.16.68.19, 1423000, up, echo-reply, 127.0, crlog.pdc.jiit, 2557422, Thu Oct  5 16:44:40 2017, None, 2, 253, Good luck!, Incremental, 100HZ, 73400.0, 42953.0, 245212.0, 21, tcp, 79.28, 
172.16.68.21, 1270000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 39108.0, 43675.0, 213808.0, None, icmp, 162.94, 
172.16.68.22, 1270000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 40855.0, 40857.0, 204283.0, None, icmp, 162.89999999999998, 
172.16.68.25, 1423000, up, echo-reply, 63.0, None, 1013525, Mon Oct 23 13:36:17 2017, None, 2, 256, Good luck!, Incrementing by 2, 100HZ, 66574.0, 41163.0, 231226.0, 8888, tcp, 51.660000000000004, 
172.16.68.29, 1423000, up, echo-reply, 254.0, None, None, None, None, 2, None, None, None, None, 34366.0, 20296.0, 115550.0, 21, tcp, 65.53, 
172.16.68.30, 1423000, up, echo-reply, 127.0, fileserver2.pdc.jiit, 2738265, Tue Oct  3 14:30:37 2017, None, 2, 256, Good luck!, Busy server or unknown class, 100HZ, 69374.0, 38386.0, 222918.0, 21, tcp, 65.44, 
172.16.68.31, 1423000, up, echo-reply, 127.0, fileserver.pdc.jiit, None, None, None, 2, 262, Good luck!, Incremental, zero timestamp, 41272.0, 25119.0, 141748.0, 21, tcp, 91.89, 
172.16.68.32, 1423000, up, echo-reply, 63.0, None, 3090412, Fri Sep 29 12:41:30 2017, None, 2, 259, Good luck!, Incrementing by 2, 100HZ, 22197.0, 19773.0, 101289.0, 8888, tcp, 91.84, 
