172.16.68.1, 867000, up, echo-reply, 127.0, None, 2747101, Tue Oct  3 14:41:54 2017, None, 2, 255, Good luck!, Incremental, 100HZ, 3348.0, 2200.0, 100000.0, 1720, tcp, 5.859999999999999, 
172.16.68.2, 867000, up, echo-reply, 127.0, jiit-main.pdc.jiit, None, None, None, 2, 262, Good luck!, Incremental, zero timestamp, 3197.0, 2111.0, 100000.0, 1720, tcp, 10.74, 
172.16.68.4, 867000, up, echo-reply, 127.0, None, None, None, None, 2, 251, Good luck!, Incremental, zero timestamp, 4056.0, 2628.0, 100000.0, 1720, tcp, 11.91, 
172.16.68.5, 867000, up, echo-reply, 127.0, symantec.pdc.jiit, None, None, None, 2, 254, Good luck!, Busy server or unknown class, zero timestamp, 3005.0, 2280.0, 100000.0, 1720, tcp, 11.88, 
172.16.68.6, 867000, up, echo-reply, 63.0, None, None, None, 996, 2, 252, Good luck!, All zeros, none returned (unsupported), 4242.0, 3567.0, 100000.0, 22, tcp, 7.33, 
172.16.68.8, 867000, up, echo-reply, 127.0, jiitwebsite.pdc.jiit, 6463467, Mon Aug 21 14:22:28 2017, None, 2, 249, Good luck!, Incremental, 100HZ, 4585.0, 2807.0, 100000.0, 1720, tcp, 11.860000000000001, 
172.16.68.9, 867000, up, echo-reply, 127.0, license-server.pdc.jiit, None, None, None, 2, 248, Good luck!, Incremental, zero timestamp, 4999.0, 3192.0, 100000.0, 1720, tcp, 11.870000000000001, 
172.16.68.10, 867000, up, echo-reply, 127.0, None, 6463176, Mon Aug 21 14:27:19 2017, None, 2, 248, Good luck!, Busy server or unknown class, 100HZ, 4228.0, 3917.0, 100000.0, 1720, tcp, 11.84, 
172.16.68.11, 867000, up, echo-reply, 63.0, linux.pdc.jiit, 1475672, Wed Oct 18 07:52:23 2017, 982, 2, 196, Good luck!, All zeros, other, 4782.0, 4365.0, 100000.0, 445, tcp, 9.39, 
172.16.68.13, 867000, up, echo-reply, 127.0, jbsnameserver.pdc.jiit, 575066, Sat Oct 28 18:02:29 2017, None, 2, 255, Good luck!, Incremental, 100HZ, 3922.0, 2748.0, 100000.0, 1720, tcp, 11.85, 
172.16.68.14, 867000, up, echo-reply, 127.0, oracle.pdc.jiit, None, None, None, 2, 251, Good luck!, Incremental, zero timestamp, 3190.0, 1646.0, 100000.0, 1720, tcp, 4.63, 
172.16.68.15, 867000, up, echo-reply, 63.0, None, None, None, 996, 2, 258, Good luck!, All zeros, none returned (unsupported), 9247.0, 11257.0, 100000.0, 22, tcp, 30.580000000000002, 
172.16.68.18, 867000, up, echo-reply, 127.0, counselling.pdc.jiit, 10085100, Mon Jul 10 16:21:55 2017, None, 2, 231, Good luck!, Incremental, 100HZ, 5381.0, 5495.0, 100000.0, 1720, tcp, 6.5, 
172.16.68.19, 867000, up, echo-reply, 127.0, crlog.pdc.jiit, 2566935, Thu Oct  5 16:44:40 2017, None, 2, 252, Good luck!, Incremental, 100HZ, 4477.0, 2630.0, 100000.0, 1720, tcp, 6.04, 
172.16.68.21, 667000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 4708.0, 3948.0, 100000.0, None, icmp, 5.8, 
172.16.68.22, 667000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 4315.0, 3222.0, 100000.0, None, icmp, 6.63, 
172.16.68.25, 867000, up, echo-reply, 63.0, None, 1023077, Mon Oct 23 13:35:38 2017, None, 2, 247, Good luck!, Incrementing by 2, 100HZ, 2209.0, 982.0, 100000.0, 1720, tcp, 6.46, 
172.16.68.29, 867000, up, echo-reply, 254.0, None, None, None, None, 2, None, None, None, None, 3576.0, 2823.0, 100000.0, 1720, tcp, 6.45, 
172.16.68.30, 867000, up, echo-reply, 127.0, fileserver2.pdc.jiit, 2747779, Tue Oct  3 14:30:36 2017, None, 2, 252, Good luck!, Incremental, 100HZ, 4410.0, 4388.0, 100000.0, 1720, tcp, 6.470000000000001, 
172.16.68.31, 867000, up, echo-reply, 127.0, fileserver.pdc.jiit, None, None, None, 2, 250, Good luck!, Incremental, zero timestamp, 4506.0, 3608.0, 100000.0, 1720, tcp, 6.470000000000001, 
172.16.68.32, 867000, up, echo-reply, 63.0, None, 3099964, Fri Sep 29 12:40:51 2017, None, 2, 252, Good luck!, Incrementing by 2, 100HZ, 13348.0, 18446.0, 100000.0, 1720, tcp, 50.919999999999995, 
