172.16.68.1, 915000, up, echo-reply, 127.0, None, 2800377, Tue Oct  3 14:42:00 2017, None, 2, 254, Good luck!, Incremental, 100HZ, 18040.0, 17615.0, 100000.0, 1025, tcp, 11.469999999999999, 
172.16.68.2, 915000, up, echo-reply, 127.0, jiit-main.pdc.jiit, None, None, None, 2, 258, Good luck!, Incremental, zero timestamp, 18638.0, 20229.0, 100000.0, 587, tcp, 11.41, 
172.16.68.4, 915000, up, echo-reply, 127.0, None, None, None, None, 2, 256, Good luck!, Incremental, zero timestamp, 14055.0, 11259.0, 100000.0, 587, tcp, 11.370000000000001, 
172.16.68.5, 915000, up, echo-reply, 127.0, symantec.pdc.jiit, None, None, None, 2, 261, Good luck!, Busy server or unknown class, zero timestamp, 17922.0, 15708.0, 100000.0, 587, tcp, 11.32, 
172.16.68.6, 915000, up, echo-reply, 63.0, None, None, None, 996, 2, 262, Good luck!, All zeros, none returned (unsupported), 11276.0, 14141.0, 100000.0, 22, tcp, 53.54, 
172.16.68.8, 915000, up, echo-reply, 127.0, jiitwebsite.pdc.jiit, 6516748, Mon Aug 21 14:22:29 2017, None, 2, 251, Good luck!, Busy server or unknown class, 100HZ, 27809.0, 25181.0, 128533.0, 1025, tcp, 17.07, 
172.16.68.9, 915000, up, echo-reply, 127.0, license-server.pdc.jiit, None, None, None, 2, 262, Good luck!, Incremental, zero timestamp, 19766.0, 17822.0, 100000.0, 1025, tcp, 11.309999999999999, 
172.16.68.10, 915000, up, echo-reply, 127.0, None, 6516456, Mon Aug 21 14:27:21 2017, None, 2, 263, Good luck!, Busy server or unknown class, 100HZ, 24428.0, 23840.0, 119788.0, 1025, tcp, 11.3, 
172.16.68.11, 915000, up, echo-reply, 63.0, linux.pdc.jiit, 1516818, Wed Oct 18 11:14:39 2017, 982, 2, 202, Good luck!, All zeros, other, 8556.0, 4724.0, 100000.0, 445, tcp, 13.48, 
172.16.68.13, 915000, up, echo-reply, 127.0, jbsnameserver.pdc.jiit, 628347, Sat Oct 28 18:02:30 2017, None, 2, 260, Good luck!, Incremental, 100HZ, 7486.0, 5020.0, 100000.0, 1025, tcp, 16.98, 
172.16.68.14, 915000, up, echo-reply, 127.0, oracle.pdc.jiit, None, None, None, 2, 260, Good luck!, Incremental, zero timestamp, 24377.0, 20576.0, 106681.0, 587, tcp, 22.63, 
172.16.68.15, 915000, up, echo-reply, 63.0, None, None, None, 996, 2, 264, Good luck!, All zeros, none returned (unsupported), 11712.0, 10112.0, 100000.0, 22, tcp, 7.9399999999999995, 
172.16.68.18, 915000, up, echo-reply, 127.0, counselling.pdc.jiit, 10138381, Mon Jul 10 16:21:56 2017, None, 2, 258, Good luck!, Incremental, 100HZ, 16019.0, 9694.0, 100000.0, 1025, tcp, 22.56, 
172.16.68.19, 915000, up, echo-reply, 127.0, crlog.pdc.jiit, 2620216, Thu Oct  5 16:44:41 2017, None, 2, 256, Good luck!, Incremental, 100HZ, 11016.0, 6451.0, 100000.0, 1025, tcp, 22.46, 
172.16.68.21, 772000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 13442.0, 12034.0, 100000.0, None, icmp, 8.23, 
172.16.68.22, 772000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 13844.0, 11160.0, 100000.0, None, icmp, 11.64, 
172.16.68.25, 915000, up, echo-reply, 63.0, None, 1076576, Mon Oct 23 13:32:01 2017, None, 2, 263, Good luck!, Incrementing by 2, 100HZ, 26582.0, 23639.0, 121138.0, 1025, tcp, 12.370000000000001, 
172.16.68.29, 915000, up, echo-reply, 254.0, None, None, None, None, 2, None, None, None, None, 10009.0, 5672.0, 100000.0, 1025, tcp, 12.309999999999999, 
172.16.68.30, 915000, up, echo-reply, 127.0, fileserver2.pdc.jiit, 2801060, Tue Oct  3 14:30:37 2017, None, 2, 258, Good luck!, Busy server or unknown class, 100HZ, 8309.0, 9137.0, 100000.0, 1025, tcp, 12.280000000000001, 
172.16.68.32, 915000, up, echo-reply, 63.0, None, 3153462, Fri Sep 29 12:37:15 2017, None, 2, 252, Good luck!, Incrementing by 2, 100HZ, 9884.0, 8939.0, 100000.0, 1025, tcp, 12.26, 
