172.16.68.1, 1082000, up, echo-reply, 127.0, None, 2778467, Tue Oct  3 09:11:16 2017, None, 2, 244, Good luck!, Incremental, 100HZ, 7025.0, 10201.0, 100000.0, 3389, tcp, 4.17, 
172.16.68.2, 1082000, up, echo-reply, 127.0, jiit-main.pdc.jiit, None, None, None, 2, 254, Good luck!, Incremental, zero timestamp, 8550.0, 13134.0, 100000.0, 3389, tcp, 2.9, 
172.16.68.4, 1082000, up, echo-reply, 127.0, None, None, None, None, 2, 253, Good luck!, Incremental, zero timestamp, 2592.0, 2254.0, 100000.0, 3389, tcp, 10.85, 
172.16.68.5, 1082000, up, echo-reply, 127.0, symantec.pdc.jiit, None, None, None, 2, 260, Good luck!, Busy server or unknown class, zero timestamp, 13116.0, 19490.0, 100000.0, 3389, tcp, 2.73, 
172.16.68.6, 1082000, up, echo-reply, 63.0, None, None, None, 996, 2, 253, Good luck!, All zeros, none returned (unsupported), 1226.0, 852.0, 100000.0, 22, tcp, 3.74, 
172.16.68.8, 1082000, up, echo-reply, 127.0, jiitwebsite.pdc.jiit, 6494836, Mon Aug 21 08:51:47 2017, None, 2, 250, Good luck!, Busy server or unknown class, 100HZ, 15147.0, 21529.0, 101263.0, 3389, tcp, 3.5100000000000002, 
172.16.68.9, 1082000, up, echo-reply, 127.0, license-server.pdc.jiit, None, None, None, 2, 255, Good luck!, Incremental, zero timestamp, 2491.0, 2131.0, 100000.0, 3389, tcp, 3.0, 
172.16.68.10, 1082000, up, echo-reply, 127.0, None, 6494545, Mon Aug 21 08:56:38 2017, None, 2, 258, Good luck!, Busy server or unknown class, 100HZ, 2877.0, 2303.0, 100000.0, 3389, tcp, 3.95, 
172.16.68.11, 1082000, up, echo-reply, 63.0, linux, 1507040, Wed Oct 18 02:21:43 2017, 982, 2, 201, Good luck!, All zeros, other, 1101.0, 489.0, 100000.0, 80, tcp, 1.6600000000000001, 
172.16.68.13, 1082000, up, echo-reply, 127.0, jbsnameserver.pdc.jiit, 606435, Sat Oct 28 12:31:48 2017, None, 2, 259, Good luck!, Incremental, 100HZ, 1154.0, 585.0, 100000.0, 3389, tcp, 3.77, 
172.16.68.14, 1082000, up, echo-reply, 127.0, oracle.pdc.jiit, None, None, None, 2, 260, Good luck!, Incremental, zero timestamp, 2209.0, 1507.0, 100000.0, 3389, tcp, 1.9900000000000002, 
172.16.68.15, 1082000, up, echo-reply, 63.0, None, None, None, 996, 2, 252, Good luck!, All zeros, none returned (unsupported), 2044.0, 1467.0, 100000.0, 22, tcp, 2.2600000000000002, 
172.16.68.18, 1082000, up, echo-reply, 127.0, counselling.pdc.jiit, 10116470, Mon Jul 10 10:51:13 2017, None, 2, 260, Good luck!, Incremental, 100HZ, 1769.0, 701.0, 100000.0, 3389, tcp, 3.4000000000000004, 
172.16.68.19, 1082000, up, echo-reply, 127.0, crlog.pdc.jiit, 2598305, Thu Oct  5 11:13:58 2017, None, 2, 256, Good luck!, Incremental, 100HZ, 14450.0, 21908.0, 102082.0, 199, tcp, 3.2600000000000002, 
172.16.68.21, 914000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 6047.0, 5408.0, 100000.0, None, icmp, 4.42, 
172.16.68.22, 914000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 7180.0, 6049.0, 100000.0, None, icmp, 4.57, 
172.16.68.25, 1082000, up, echo-reply, 63.0, None, 1054575, Mon Oct 23 08:02:48 2017, None, 2, 247, Good luck!, Incrementing by 2, 100HZ, 1196.0, 435.0, 100000.0, 3389, tcp, 3.06, 
172.16.68.29, 1082000, up, echo-reply, 254.0, None, None, None, None, 2, None, None, None, None, 2617.0, 2942.0, 100000.0, 3389, tcp, 1.67, 
172.16.68.30, 1082000, up, echo-reply, 127.0, fileserver2.pdc.jiit, 2779148, Tue Oct  3 08:59:55 2017, None, 2, 256, Good luck!, Busy server or unknown class, 100HZ, 2022.0, 835.0, 100000.0, 3389, tcp, 2.33, 
172.16.68.32, 1082000, up, echo-reply, 63.0, None, 3131461, Fri Sep 29 07:08:02 2017, None, 2, 261, Good luck!, Incrementing by 2, 100HZ, 1699.0, 829.0, 100000.0, 3389, tcp, 1.96, 
